Title,cast,crew,genres,final_tag,movie_id
Underworld: Blood Wars,Kate Beckinsale,Anna Foerster,Fantasy Action Thriller Horror,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.en",346672.0
Arsenal,Adrian Grenier,Steven C. Miller,Thriller,"After the deadbeat brother of a businessman is assumed to be in on his own kidnapping, his sibling must take action to rescue him.en",388202.0
Between Us,Olivia Thirlby,Rafael Palacio Illingworth,Romance Adventure Drama,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.en",290512.0
Monster Trucks,Lucas Till,Chris Wedge,Action Comedy Science Fiction,"Tripp is a high school senior with a knack for building trucks who makes an incredible discovery - a gas-guzzling creature named Creech. To protect his mischievous new friend, Tripp hides Creech under the hood of his latest creation, turning it into a real-life super-powered Monster Truck. Together, this unlikely duo with a shared taste for speed team up on a wild and unforgettable journey to reunite Creech with his family.en",262841.0
The Bye Bye Man,Douglas Smith,Stacy Title,Horror Thriller,"When three college students move into an old house off campus, they unwittingly unleash a supernatural entity known as The Bye Bye Man, who comes to prey upon them once they discover his name. The friends must try to save each other, all the while keeping The Bye Bye Man's existence a secret to save others from the same deadly fate.en",292280.0
Sleepless,Jamie Foxx,Baran bo Odar,Action Crime Thriller,"Undercover Las Vegas police officer Vincent Downs, who has got a lot of enemies, is caught in a high stakes web of corrupt cops and the mob-controlled casino underground. When a heist goes wrong, a crew of homicidal gangsters gets T, Downs’ teenage son. In one sleepless night, he will have to rescue his son T (who they got), evade an internal affairs investigation and bring the kidnappers to justice.en",324542.0
100 Streets,Idris Elba,Jim O'Hanlon,Drama,"Three people, three extraordinary stories. All lived out within a hundred London streets.en",334532.0
The Book of Love,Robbie Pickering (screenplay); Jason Sudeikis,Bill Purple,Comedy,"Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High. Unfortunately for them, the book is ruined, and with incomplete advice, the Bible leads them on a hilarious journey to lose their virginity.en",26123.0
Split,James McAvoy,M. Night Shyamalan,Horror Thriller,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.en",381288.0
XXX: Return of Xander Cage,Vin Diesel,D. J. Caruso,Action Adventure Crime,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.en",47971.0
The Resurrection of Gavin Stone,Brett Dalton,Dallas Jenkins,Comedy Drama,"Gavin Stone, a washed-up former child star, is forced to do community service at a local megachurch and pretends to be Christian so he can land the part of Jesus in their annual Passion Play, only to discover that the most important role of his life is far from Hollywood.en",422114.0
Trespass Against Us,Michael Fassbender,Adam Smith,Action Crime Drama,"Three generations of the rowdy Cutler family live as outlaws in some of Britain's richest countryside – hunting hares, ram-raiding stately homes, and taunting the police. Struggling to retain a way of life fast becoming extinct, Chad Cutler ends up caught between his father's archaic principles and trying to do right by his kids, whilst the full force of the law is finally catching up with him.en",256569.0
Sophie and the Rising Sun,Julianne Nicholson,Maggie Greenwald,Drama,"In a small Southern town in the autumn of 1941, Sophie’s lonely life is transformed when an Asian man arrives under mysterious circumstances. Their love affair becomes the lightning rod for long-buried conflicts that erupt in bigotry and violence with the outbreak of World War ll.en",371743.0
A Dog's Purpose,Britt Robertson,Lasse Hallström,Adventure Comedy Fantasy Family Drama,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.en,381289.0
